Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
30/6/2019,742.84,269.94,491.89,18.99,33.8,414.41,1971.87,0,210.84,361.09,37.83,18.06,488.1,1115.92,,,,,,,,,,,,
31/7/2019,685.85,217.89,448.65,24.2,20.39,361.39,1758.37,0,189.76,322.94,35.01,15.68,482.91,1046.3,,,,,,,,,,,,
31/8/2019,625.56,222.07,406.49,109.22,39.39,436.15,1838.88,0,158.28,281.53,53.63,23.32,483.64,1000.4,,,,,,,,,,,,
30/9/2019,275.65,266.29,272.47,105.65,28.17,387.7,1335.93,0,196.71,242.48,72.25,19.83,301.23,832.5,,,,,,,,,,,,
31/10/2019,670.73,316.57,483.31,49,30.71,615.5,2165.82,0,204.42,334.36,57.01,44.74,479.42,1119.95,,,,,,,,,,,,
30/11/2019,597,269,383,16.2,72.6,675,2012.8,0,221.9,366.58,40.93,63.6,508.83,1201.84,,,,,,,,,,,,
31/12/2019,567.13,251.56,397.93,17.02,3.92,661.67,1899.23,0,198.06,332.37,31.85,66.3,527.45,1156.03,,,,,,,,,,,,
31/1/2020,469.71,51.91,315.49,19.06,0,513.78,1369.95,0,6.3,225.78,35.08,24.31,310.46,601.93,812.37,53.19,495.58,19.14,-5.48,715.4,1729.513955,1024.658062,1570.826334,1004.197272,,1392.424773
29/2/2020,587.89,165.32,427.19,18.37,22.22,584,1804.99,0,17.14,333.79,31.66,26.78,614.99,1024.36,995.38,192.36,620.59,16.3,21,870,1693.139873,1163.561578,1452.725953,887.3162765,945.0945095,1489.726027
31/3/2020,745,122,428,14,30.84,751.86,2091.7,0,36.98,370.86,35.45,24.11,646.82,1114.22,888.61,289.62,630,15,34,1114,1192.765101,2373.934426,1471.962617,1071.428571,1102.464332,1481.658819
30/4/2020,578.94,23.71,411.55,25.55,15.62,678.97,1734.34,0,13.71,353.92,37.31,23.81,627.69,1056.44,753.33,66.87,587.78,34.2,3.84,1064.43,1301.222925,2820.328975,1428.210424,1338.551859,245.8386684,1567.712859
